CustomerID,CustomerName,ContactInfo,Region,Industry
C001,John Doe,john.doe@email.com,South,MANUFACTURING
C002,John Doe,john.doe@email.com,South,MANUFACTURING
C002,Linda Davis,linda.davis@email.com,South,MANUFACTURING
C004,Brian Moore,brian.moore@email.com,East,MANUFACTURING
C005,Karen Wilson,karen.wilson@email.com,North,SERVICES
C006,Linda Davis,linda.davis@email.com,South,MANUFACTURING
C007,Brian Moore,brian.moore@email.com,East,RETAIL
C008,John Doe,john.doe@email.com,North,RETAIL
C009,Jane Smith,jane.smith@email.com,South,SERVICES
C010,Bob Johnson,bob.johnson@email.com,South,MANUFACTURING
C011,John Doe,john.doe@email.com,East,SERVICES
C012,Brian Moore,brian.moore@email.com,West,MANUFACTURING
C013,Bob Johnson,bob.johnson@email.com,West,SERVICES
C014,Brian Moore,brian.moore@email.com,East,MANUFACTURING
C015,John Doe,john.doe@email.com,North,RETAIL
C016,Chris Miller,chris.miller@email.com,East,MANUFACTURING
C017,Chris Miller,chris.miller@email.com,West,SERVICES
C018,Chris Miller,chris.miller@email.com,West,RETAIL
C019,Alice Williams,alice.williams@email.com,West,RETAIL
C020,Michael Brown,michael.brown@email.com,East,RETAIL
C021,Alice Williams,alice.williams@email.com,West,RETAIL
C022,John Doe,john.doe@email.com,West,RETAIL
C023,Alice Williams,alice.williams@email.com,East,RETAIL
C024,Chris Miller,chris.miller@email.com,South,RETAIL
C025,Chris Miller,chris.miller@email.com,North,MANUFACTURING
C026,Chris Miller,chris.miller@email.com,South,RETAIL
C027,Linda Davis,linda.davis@email.com,East,MANUFACTURING
C028,Lisa Taylor,lisa.taylor@email.com,East,MANUFACTURING
C029,John Doe,john.doe@email.com,West,SERVICES
C030,Jane Smith,jane.smith@email.com,North,RETAIL
C031,Michael Brown,michael.brown@email.com,South,SERVICES
C032,Karen Wilson,karen.wilson@email.com,South,RETAIL
C033,Bob Johnson,bob.johnson@email.com,South,SERVICES
C034,Chris Miller,chris.miller@email.com,South,MANUFACTURING
C035,John Doe,john.doe@email.com,West,SERVICES
C036,Jane Smith,jane.smith@email.com,West,MANUFACTURING
C037,Jane Smith,jane.smith@email.com,North,MANUFACTURING
C038,John Doe,john.doe@email.com,North,MANUFACTURING
C039,Jane Smith,jane.smith@email.com,South,SERVICES
C040,Linda Davis,linda.davis@email.com,North,RETAIL
C041,John Doe,john.doe@email.com,North,MANUFACTURING
C042,Chris Miller,chris.miller@email.com,West,SERVICES
C043,Jane Smith,jane.smith@email.com,North,SERVICES
C044,John Doe,john.doe@email.com,West,MANUFACTURING
C045,Linda Davis,linda.davis@email.com,West,MANUFACTURING
C046,Chris Miller,chris.miller@email.com,North,MANUFACTURING
C047,Brian Moore,brian.moore@email.com,North,SERVICES
C048,Chris Miller,chris.miller@email.com,West,SERVICES
C049,John Doe,john.doe@email.com,South,SERVICES
C050,Lisa Taylor,lisa.taylor@email.com,East,SERVICES
