CustomerID,CustomerName,ContactInfo,Region,Industry
,John Doe,john.doe@email.com,South,MANUFACTURING
C002,John Doe,john.doe@email.com,South,Manufacturing
C002,Linda Davis,linda.davis@email.com,South,MANUFACTURING
C004,Brian Moore,brian.moore@email.com,East,MANUFACTURING
C005,Karen Wilson,karen.wilson@email.com,North,Services
C006,Linda Davis,linda.davis@email.com,South,MANUFACTURING
C007,Brian Moore,brian.moore@email.com,East,Retail
C008,John Doe,john.doe@email.com,North,RETAIL
C009,Jane Smith,jane.smith@email.com,South,SERVICES
C010,Bob Johnson,bob.johnson@email.com,South,Manufacturing
C011,John Doe,john.doe@email.com,East,Services
C012,Brian Moore,brian.moore@email.com,West,Manufacturing
C013,Bob Johnson,bob.johnson@email.com,West,SERVICES
C014,Brian Moore,brian.moore@email.com,East,MANUFACTURING
C015,John Doe,john.doe@email.com,North,Retail
C016,Chris Miller,chris.miller@email.com,East,MANUFACTURING
C017,Chris Miller,chris.miller@email.com,West,Services
C018,Chris Miller,chris.miller@email.com,West,RETAIL
C019,Alice Williams,alice.williams@email.com,West,RETAIL
C020,Michael Brown,michael.brown@email.com,East,Retail
C021,Alice Williams,alice.williams@email.com,West,RETAIL
C022,John Doe,john.doe@email.com,West,RETAIL
C023,Alice Williams,alice.williams@email.com,East,RETAIL
C024,Chris Miller,chris.miller@email.com,South,Retail
C025,Chris Miller,chris.miller@email.com,North,Manufacturing
C026,Chris Miller,chris.miller@email.com,South,Retail
C027,Linda Davis,linda.davis@email.com,East,Manufacturing
C028,Lisa Taylor,lisa.taylor@email.com,East,Manufacturing
C029,John Doe,john.doe@email.com,West,Services
C030,Jane Smith,jane.smith@email.com,North,Retail
C031,Michael Brown,michael.brown@email.com,South,Services
C032,Karen Wilson,karen.wilson@email.com,South,Retail
C033,Bob Johnson,bob.johnson@email.com,South,Services
C034,Chris Miller,chris.miller@email.com,South,MANUFACTURING
C035,John Doe,john.doe@email.com,West,SERVICES
C036,Jane Smith,jane.smith@email.com,West,MANUFACTURING
C037,Jane Smith,jane.smith@email.com,North,Manufacturing
C038,John Doe,john.doe@email.com,North,MANUFACTURING
C039,Jane Smith,jane.smith@email.com,South,Services
C040,Linda Davis,linda.davis@email.com,North,Retail
C041,John Doe,john.doe@email.com,North,MANUFACTURING
C042,Chris Miller,chris.miller@email.com,West,SERVICES
C043,Jane Smith,jane.smith@email.com,North,Services
C044,John Doe,john.doe@email.com,West,Manufacturing
C045,Linda Davis,linda.davis@email.com,West,MANUFACTURING
C046,Chris Miller,chris.miller@email.com,North,Manufacturing
C047,Brian Moore,brian.moore@email.com,North,Services
C048,Chris Miller,chris.miller@email.com,West,Services
C049,John Doe,john.doe@email.com,South,Services
C050,Lisa Taylor,lisa.taylor@email.com,East,Services
C028,Lisa Taylor,lisa.taylor@email.com,East,Manufacturing
C036,Jane Smith,jane.smith@email.com,West,Manufacturing
C041,John Doe,john.doe@email.com,North,MANUFACTURING
